"region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
30073,6166,82,1,0,2,22256,436,42.9
30075,1669,94,0,0,2,28528,359,50.1
30077,7052,91,0,1,3,19736,361,45.6
30079,1186,96,0,0,1,20644,356,55.4
30081,40423,94,0,1,3,22872,558,46.4
30083,10318,92,0,0,4,32036,570,39.4
30085,10665,36,0,0,2,16888,242,30.5
30087,9310,60,0,1,4,22229,361,36.6
30089,11400,90,0,0,2,19188,491,50.5
30091,3473,94,0,0,2,31378,441,48.7
30093,34322,92,0,1,4,23562,470,41.6
30095,9173,95,0,0,3,28868,514,47
30097,3640,95,0,1,2,22743,465,44.7
30099,6063,95,0,0,1,22799,379,45.3
30101,5224,89,0,1,2,23162,468,42.3
30103,711,87,0,1,7,23948,318,51.9
30105,7465,86,0,0,2,25685,379,45.9
30107,2138,95,0,0,1,17336,398,48.7
30109,928,98,0,0,2,27492,400,49.7
30111,150156,88,1,1,5,27761,628,38.3
31001,31367,88,1,1,8,25571,482,38
31003,6600,96,0,0,3,25186,305,46.5
31005,507,100,0,0,0,17656,300,37.5
31007,816,91,1,0,6,25814,424,49.2
31009,586,98,0,1,0,19141,286,41
31011,5441,98,0,0,1,25590,296,45.9
31013,11312,84,0,0,11,25046,413,40.6
31015,2093,98,1,0,1,23157,240,51.9
31017,3167,98,0,0,2,21843,301,46.7
31019,46885,89,1,1,8,24830,531,32.3
31021,6748,94,1,0,1,25203,381,47.3
31023,8334,96,1,0,3,27673,418,44.4
31025,25222,95,1,0,3,29638,556,41.5
31027,8790,97,0,0,1,25738,342,44.6
31029,3984,87,0,0,12,28241,392,43.3
31031,5735,90,0,1,1,25213,425,45.1
31033,10022,90,0,2,6,28296,437,39.9
31035,6469,90,1,0,8,23876,377,43.7
31037,10495,56,1,0,42,23751,442,34.8
31039,9095,90,0,0,9,24496,350,43.5
31041,10872,96,1,0,2,24615,366,44.8
31043,20920,54,4,3,36,20179,527,32.6
31045,9172,87,2,2,4,21137,404,34.7
31047,24256,63,3,0,32,20142,424,36.7
